Order_ID,Order_Date,Customer_Name,State,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Discount,Profit
ORD-10047,26-Apr-2025,Customer 051,Odisha,East,Office Supplies,Writing,Highlighter Pack,2,1351.99,0.10,332.15
ORD-10048,19-Nov-2025,Customer 148,Maharashtra,West,Technology,Phones,Budget Phone A2,8,33963.11,0.00,6781.92
ORD-10049,03-Jan-2025,Customer 028,Rajasthan,West,Furniture,Storage,Wall Shelf,8,32811.42,0.05,4877.14
ORD-10050,26-Aug-2025,Customer 171,Tamil Nadu,South,Technology,Phones,Wireless Earbuds,1,3932.95,0.00,776.14
ORD-10051,07-May-2025,Customer 164,Punjab,North,Office Supplies,Writing,Pencil Box,8,4567.98,0.30,376.30
ORD-10052,21-Jun-2025,Customer 082,Delhi,North,Furniture,Tables,Study Table,5,19681.78,0.15,1560.03
ORD-10053,28-Jul-2025,Customer 085,Odisha,East,Technology,Phones,Budget Phone A2,7,29766.93,0.10,3913.95
ORD-10054,22-Oct-2025,Customer 098,Telangana,South,Office Supplies,Paper,Notebook Set,7,2795.60,0.00,868.38
ORD-10055,07-Oct-2025,Customer 155,Kerala,South,Technology,Accessories,Mechanical Keyboard,7,29662.49,0.25,1121.52
ORD-10056,14-Dec-2025,Customer 104,Goa,West,Office Supplies,Paper,Sticky Notes,7,2510.69,0.25,255.68
ORD-10057,08-Aug-2025,Customer 035,Gujarat,West,Office Supplies,Paper,A4 Paper Pack,7,3957.46,0.00,1008.24
ORD-10058,14-Jul-2025,Unknown,Telangana,South,Technology,Phones,5G Phone Pro,7,12733.36,0.30,22.11
ORD-10059,29-Jun-2025,Customer 058,Tamil Nadu,South,Office Supplies,Paper,Printer Paper,1,694.20,0.00,314.35
ORD-10060,03-May-2025,Customer 033,Odisha,East,Furniture,Chairs,Ergonomic Chair,4,11020.05,0.00,2012.73
ORD-10061,07-Nov-2025,Customer 030,Kerala,South,Furniture,Chairs,Office Chair Basic,8,42597.29,0.20,2050.13
ORD-10062,12-Apr-2025,Customer 020,Gujarat,West,Office Supplies,Paper,A4 Paper Pack,5,2070.57,0.25,218.49
ORD-10063,08-Aug-2025,Customer 170,Goa,West,Technology,Electronics,Bluetooth Speaker,2,10636.24,0.00,2090.58
ORD-10064,05-Jul-2025,Customer 163,Haryana,North,Technology,Electronics,Bluetooth Speaker,1,3939.28,0.30,-74.97
ORD-10065,03-Oct-2025,Customer 124,Telangana,South,Furniture,Chairs,Study Chair,3,17655.19,0.15,1484.37
ORD-10066,19-Aug-2025,Customer 063,Telangana,South,Office Supplies,Writing,Highlighter Pack,6,4670.43,0.00,1254.66
ORD-10067,19-Apr-2025,Customer 091,Telangana,South,Furniture,Storage,Wall Shelf,6,6834.53,0.20,265.37
ORD-10068,28-Jul-2025,Customer 126,Delhi,North,Office Supplies,Storage,Pen Drive 64GB,1,453.27,0.10,-2.00
ORD-10069,27-Jul-2025,Customer 178,Goa,West,Furniture,Tables,Conference Table,8,59079.01,0.00,10584.84
ORD-10070,09-Oct-2025,Customer 085,Goa,West,Office Supplies,Writing,Highlighter Pack,8,3416.63,0.20,494.62
ORD-10071,11-Jun-2025,Customer 031,Haryana,North,Furniture,Tables,Laptop Table,5,15804.74,0.00,2897.96
ORD-10072,10-Apr-2025,Customer 076,Gujarat,West,Technology,Phones,Wireless Earbuds,5,20836.02,0.15,2251.01
ORD-10073,28-Jan-2025,Customer 142,Goa,West,Office Supplies,Paper,Sticky Notes,1,627.55,0.05,101.15
ORD-10074,14-Aug-2025,Customer 088,Uttar Pradesh,North,Furniture,Chairs,Study Chair,2,13612.26,0.15,1115.67
ORD-10075,23-Oct-2025,Customer 162,Gujarat,West,Technology,Accessories,Laptop Stand,2,8202.41,0.25,305.61
ORD-10076,02-Aug-2025,Customer 156,West Bengal,East,Technology,Phones,5G Phone Pro,2,12929.45,0.00,2599.83
ORD-10077,14-Nov-2025,Customer 016,Goa,West,Furniture,Tables,Conference Table,8,21116.13,0.25,322.82
ORD-10078,10-Oct-2025,Customer 020,Jharkhand,East,Technology,Electronics,Webcam HD,5,21519.80,0.05,3542.13
ORD-10079,25-May-2025,Customer 180,Gujarat,West,Technology,Accessories,Laptop Stand,8,17202.99,0.10,2271.55
ORD-10080,06-Oct-2025,Customer 058,Telangana,South,Technology,Electronics,Webcam HD,5,23712.31,0.10,3183.20
ORD-10081,19-Oct-2025,Customer 074,Maharashtra,West,Office Supplies,Paper,A4 Paper Pack,1,183.65,0.15,56.33
ORD-10082,03-Nov-2025,Customer 011,Telangana,South,Technology,Accessories,Mechanical Keyboard,7,30220.86,0.30,136.17
ORD-10083,11-Dec-2025,Customer 069,Tamil Nadu,South,Furniture,Tables,Laptop Table,1,1912.35,0.00,464.12
ORD-10084,09-Sep-2025,Customer 024,West Bengal,East,Technology,Accessories,Laptop Stand,5,6572.39,0.25,278.81
ORD-10085,22-Dec-2025,Customer 127,Kerala,South,Office Supplies,Storage,Pen Drive 64GB,6,3588.20,0.05,847.23
ORD-10086,26-Jul-2025,Customer 132,Uttar Pradesh,North,Furniture,Tables,Work Desk,8,12830.69,0.15,1016.12
ORD-10087,13-Sep-2025,Customer 161,Bihar,East,Furniture,Storage,Wall Shelf,7,9087.63,0.20,483.81
ORD-10088,06-Sep-2025,Customer 032,Telangana,South,Technology,Phones,5G Phone Pro,3,12769.05,0.30,155.25
ORD-10089,17-Feb-2025,Customer 058,Bihar,East,Furniture,Storage,Filing Cabinet,3,10871.55,0.00,1969.42
ORD-10090,20-May-2025,Customer 107,Jharkhand,East,Office Supplies,Paper,Notebook Set,8,5744.47,0.15,1050.50
ORD-10091,22-May-2025,Customer 107,Kerala,South,Office Supplies,Paper,Printer Paper,3,1124.44,0.05,365.67
ORD-10092,17-Aug-2025,Customer 138,Punjab,North,Furniture,Tables,Work Desk,5,24021.19,0.30,-272.66
ORD-10093,03-May-2025,Customer 147,Kerala,South,Office Supplies,Storage,Desk Organizer,8,6083.56,0.10,1423.35
ORD-10094,06-Dec-2025,Customer 167,Karnataka,South,Technology,Accessories,USB-C Hub,6,22586.80,0.25,819.66
ORD-10095,22-Aug-2025,Customer 004,Maharashtra,West,Office Supplies,Paper,Notebook Set,6,3331.25,0.30,187.09
ORD-10096,21-Dec-2025,Customer 102,Maharashtra,West,Office Supplies,Writing,Marker Set,2,790.47,0.15,105.52
ORD-10097,19-Jan-2025,Customer 159,Odisha,East,Office Supplies,Writing,Pencil Box,6,2494.70,0.30,301.42
ORD-10098,21-Nov-2025,Customer 026,Odisha,East,Technology,Electronics,Bluetooth Speaker,4,15093.73,0.25,680.82
ORD-10099,11-Jul-2025,Customer 111,Telangana,South,Technology,Electronics,Bluetooth Speaker,1,966.75,0.00,143.76
ORD-10100,15-Jul-2025,Customer 159,Maharashtra,West,Technology,Electronics,Power Bank,3,5057.72,0.00,1037.82
ORD-10101,08-Dec-2025,Customer 003,Goa,West,Office Supplies,Writing,Marker Set,4,1557.69,0.15,274.58
ORD-10102,03-Jun-2025,Customer 164,Telangana,South,Office Supplies,Writing,Marker Set,2,707.55,0.20,223.17
ORD-10103,24-Feb-2025,Customer 061,Tamil Nadu,South,Furniture,Tables,Conference Table,5,10327.10,0.25,265.52
ORD-10104,17-Oct-2025,Customer 176,Karnataka,South,Furniture,Tables,Laptop Table,5,5141.73,0.25,35.86
ORD-10105,30-Jun-2025,Customer 057,west bengal,East,Furniture,Storage,Wall Shelf,5,32628.51,0.10,3777.97
ORD-10106,14-Aug-2025,Customer 009,Rajasthan,West,Furniture,Tables,Study Table,2,16493.10,0.00,2922.90
ORD-10107,09-Mar-2025,Customer 139,Haryana,North,Furniture,Chairs,Ergonomic Chair,5,14056.53,0.25,168.14
ORD-10108,01-Jun-2025,Customer 087,Haryana,North,Furniture,Storage,Drawer Unit,3,6729.17,0.30,11.23
ORD-10109,13-Oct-2025,Customer 094,Jharkhand,East,Office Supplies,Paper,Notebook Set,4,2355.95,0.25,388.97
ORD-10110,23-Nov-2025,Customer 096,Odisha,East,Office Supplies,Paper,Sticky Notes,2,769.97,0.15,160.81
ORD-10111,24-Apr-2025,Customer 166,Jharkhand,East,Furniture,Chairs,Study Chair,1,4825.97,0.20,340.96
ORD-10112,05-Jun-2025,Customer 127,Odisha,East,Furniture,Tables,Laptop Table,7,14770.51,0.00,2765.79
ORD-10113,21-Mar-2025,Customer 107,Jharkhand,East,Technology,Phones,Budget Phone A2,7,17488.45,0.25,676.78
ORD-10114,16-Aug-2025,Customer 061,Jharkhand,East,Office Supplies,Writing,Pencil Box,5,427.31,0.20,-3.76
ORD-10115,04-Mar-2025,Customer 117,Haryana,North,Technology,Electronics,Bluetooth Speaker,6,5361.07,0.15,475.06
ORD-10116,17-Oct-2025,Customer 053,Odisha,East,Furniture,Chairs,Ergonomic Chair,1,6603.30,0.10,876.70
ORD-10117,02-Nov-2025,Customer 001,Odisha,East,Furniture,Chairs,Office Chair Basic,4,14298.51,0.05,2178.30
ORD-10118,03-Jul-2025,Customer 061,Delhi,North,Technology,Phones,5G Phone Pro,3,4012.72,0.00,714.18
ORD-10119,02-Feb-2025,Customer 122,Punjab,North,Technology,Phones,5G Phone Pro,1,1076.40,0.25,46.63
ORD-10120,04-Dec-2025,Customer 134,Telangana,South,Office Supplies,Writing,Gel Pen Pack,8,3945.18,0.00,1159.19
ORD-10121,25-Feb-2025,Customer 126,Uttar Pradesh,North,Office Supplies,Writing,Gel Pen Pack,1,674.13,0.25,61.52
ORD-10122,27-Oct-2025,Customer 141,Telangana,South,Technology,Phones,5G Phone Pro,3,2756.44,0.15,312.37
ORD-10123,26-Dec-2025,Customer 030,Punjab,North,Office Supplies,Writing,Highlighter Pack,8,2967.31,0.25,252.46
ORD-10124,18-Feb-2025,Customer 081,Rajasthan,West,Office Supplies,Storage,Document Box,7,1753.83,0.30,124.77
ORD-10125,13-Feb-2025,Customer 024,Tamil Nadu,South,Office Supplies,Writing,Highlighter Pack,6,3620.17,0.30,203.83
ORD-10126,30-Jul-2025,Customer 091,Tamil Nadu,South,Technology,Electronics,Bluetooth Speaker,3,9424.68,0.20,700.53
ORD-10127,04-Sep-2025,Customer 058,Tamil Nadu,South,Furniture,Chairs,Visitor Chair,5,17742.78,0.10,1957.55
ORD-10128,15-Oct-2025,Customer 160,Jharkhand,East,Office Supplies,Writing,Highlighter Pack,2,1269.61,0.10,346.70
ORD-10129,29-Jun-2025,Customer 002,Bihar,East,Furniture,Storage,Drawer Unit,1,2216.16,0.15,284.00
ORD-10130,29-Sep-2025,Customer 056,Gujarat,West,Technology,Electronics,Power Bank,2,3045.75,0.00,511.17
ORD-10131,18-Oct-2025,Customer 153,Karnataka,South,Office Supplies,Storage,Pen Drive 64GB,3,920.26,0.20,204.48
ORD-10132,06-Aug-2025,Customer 125,Odisha,East,Technology,Phones,Budget Phone A2,1,3917.67,0.15,387.91
ORD-10133,14-Dec-2025,Customer 152,Telangana,South,Office Supplies,Storage,Document Box,2,726.08,0.00,151.28
ORD-10134,04-Jun-2025,Customer 055,Kerala,South,Furniture,Storage,Drawer Unit,1,2920.04,0.00,407.45
ORD-10135,14-Jul-2025,Customer 137,Maharashtra,West,Office Supplies,Storage,Pen Drive 64GB,2,129.51,0.25,-62.62
ORD-10136,24-Aug-2025,Customer 020,Goa,West,Furniture,Storage,Drawer Unit,2,8594.31,0.00,1531.67
ORD-10137,16-Jun-2025,Customer 044,Punjab,North,Furniture,Tables,Conference Table,7,18155.65,0.25,202.73
ORD-10138,25-Jul-2025,Customer 135,Telangana,South,Furniture,Tables,Work Desk,7,49057.96,0.10,5626.23
ORD-10139,21-Nov-2025,Customer 030,Odisha,East,Office Supplies,Storage,Pen Drive 64GB,4,1341.84,0.05,230.44
ORD-10140,05-Nov-2025,Customer 040,Rajasthan,West,Office Supplies,Storage,Document Box,4,558.62,0.15,29.29
ORD-10141,17-Oct-2025,Customer 165,Odisha,East,Technology,Electronics,Power Bank,8,28424.40,0.30,185.59
ORD-10142,21-May-2025,Customer 152,Punjab,North,Furniture,Tables,Study Table,8,9702.74,0.30,-114.01
ORD-10143,27-May-2025,Customer 020,West Bengal,East,Office Supplies,Writing,Gel Pen Pack,5,2293.14,0.00,535.73
ORD-10144,20-Oct-2025,Customer 167,Odisha,East,Furniture,Storage,Wall Shelf,8,45812.56,0.00,8234.20
ORD-10145,25-Jun-2025,Customer 022,Rajasthan,West,Office Supplies,Writing,Pencil Box,3,1817.20,0.30,59.30
ORD-10146,25-May-2025,Customer 100,Gujarat,West,Technology,Phones,Wireless Earbuds,8,28420.94,0.05,4727.84
ORD-10147,17-Jul-2025,Customer 073,Tamil Nadu,South,Office Supplies,Writing,Gel Pen Pack,6,804.29,0.00,239.11
ORD-10148,08-Jun-2025,Customer 168,Delhi,North,Furniture,Storage,Filing Cabinet,6,10463.58,0.05,1643.40
ORD-10149,10-Dec-2025,Customer 180,Karnataka,South,Technology,Electronics,LED Monitor 24,5,15766.99,0.20,1178.85
ORD-10150,20-Apr-2025,Customer 088,Odisha,East,Furniture,Storage,Wall Shelf,6,6845.21,0.15,487.99
ORD-10151,04-Oct-2025,Customer 135,Kerala,South,Technology,Phones,Budget Phone A2,3,3442.67,0.00,690.38
ORD-10152,16-Nov-2025,Customer 043,West Bengal,East,Furniture,Tables,Study Table,7,15981.09,0.05,2436.73
ORD-10153,18-Aug-2025,Customer 060,Telangana,South,Technology,Accessories,Mechanical Keyboard,4,21500.29,0.15,2264.35
ORD-10154,25-May-2025,Customer 098,Goa,West,Office Supplies,Storage,Document Box,6,2672.09,0.30,217.93
ORD-10155,11-Oct-2025,Customer 027,Tamil Nadu,South,Technology,Phones,Budget Phone A2,5,3509.25,0.30,107.33
ORD-10156,16-Feb-2025,Customer 057,Jharkhand,East,Office Supplies,Paper,Notebook Set,5,2130.10,0.05,606.65
ORD-10157,11-Feb-2025,Customer 096,Telangana,South,Office Supplies,Paper,Printer Paper,1,324.07,0.20,-14.80
ORD-10158,30-Aug-2025,Customer 179,Goa,West,Technology,Accessories,USB-C Hub,6,30153.04,0.05,4939.83
ORD-10159,18-Mar-2025,Customer 141,Maharashtra,West,Furniture,Tables,Conference Table,1,8265.69,0.00,1429.25
ORD-10160,15-Nov-2025,Customer 118,Tamil Nadu,South,Technology,Accessories,Wireless Mouse,5,6330.24,0.10,835.34
ORD-10161,11-Nov-2025,Customer 091,Odisha,East,Technology,Accessories,USB-C Hub,4,16549.69,0.15,1679.36
ORD-10162,27-Sep-2025,Customer 140,Goa,West,Furniture,Tables,Study Table,2,8453.09,0.20,318.90
ORD-10163,02-Jul-2025,Customer 018,Bihar,East,Office Supplies,Storage,File Folder,7,5262.49,0.15,1019.76
ORD-10164,26-Nov-2025,Customer 045,Haryana,North,Technology,Electronics,LED Monitor 24,6,7074.12,0.20,506.23
ORD-10165,14-Apr-2025,Customer 012,Telangana,South,Furniture,Tables,Study Table,3,3553.59,0.30,-164.43
ORD-10166,28-Nov-2025,Customer 049,Rajasthan,West,Technology,Accessories,Mechanical Keyboard,7,31540.87,0.30,98.50
ORD-10167,24-Jul-2025,Customer 113,Uttar Pradesh,North,Office Supplies,Paper,Sticky Notes,5,728.28,0.20,94.11
ORD-10168,06-Aug-2025,Customer 021,Karnataka,South,Office Supplies,Paper,Printer Paper,8,2592.33,0.15,545.38
ORD-10169,06-Jun-2025,Customer 115,Tamil Nadu,South,Furniture,Chairs,Visitor Chair,6,9601.27,0.20,518.68
ORD-10170,11-Aug-2025,Customer 071,Tamil Nadu,South,Technology,Electronics,Power Bank,6,15808.09,0.20,1134.13
ORD-10171,15-Mar-2025,Customer 156,West Bengal,East,Technology,Electronics,Power Bank,6,20952.62,0.05,3618.23
ORD-10172,18-Oct-2025,Customer 009,Telangana,South,Technology,Phones,Smartphone X1,4,16689.25,0.20,1135.16
ORD-10173,29-Sep-2025,Customer 094,Maharashtra,West,Furniture,Tables,Laptop Table,6,27976.36,0.00,5053.49
ORD-10174,13-Sep-2025,Customer 133,Karnataka,South,Office Supplies,Writing,Highlighter Pack,4,3470.51,0.00,1028.30
ORD-10175,27-May-2025,Customer 178,Karnataka,South,Furniture,Chairs,Visitor Chair,5,30111.73,0.10,3581.98
ORD-10176,16-Dec-2025,Customer 082,Kerala,South,Technology,Phones,Budget Phone A2,2,4650.59,0.30,142.60
ORD-10177,18-Sep-2025,Customer 058,Haryana,North,Furniture,Chairs,Visitor Chair,5,37242.96,0.05,5563.82
ORD-10178,10-Oct-2025,Customer 034,Jharkhand,East,Technology,Phones,Budget Phone A2,8,5455.66,0.20,374.07
ORD-10179,07-Feb-2025,Customer 033,Odisha,East,Technology,Accessories,Laptop Stand,8,22494.21,0.25,921.13
ORD-10180,10-Oct-2025,Customer 164,Punjab,North,Furniture,Chairs,Study Chair,8,41631.04,0.20,1992.35
ORD-10181,15-Jun-2025,Customer 058,Gujarat,West,Technology,Accessories,USB-C Hub,2,6298.49,0.15,565.11
ORD-10182,05-Jun-2025,Customer 158,Haryana,North,Furniture,Tables,Work Desk,5,11607.41,0.15,867.65
ORD-10183,16-Oct-2025,Customer 011,Odisha,East,Furniture,Storage,Filing Cabinet,3,6084.88,0.20,386.45
ORD-10184,16-Jan-2025,Customer 128,Bihar,East,Technology,Phones,5G Phone Pro,4,15445.09,0.25,607.54
ORD-10185,07-Feb-2025,Customer 177,Uttar Pradesh,North,Furniture,Tables,Conference Table,4,22429.70,0.25,343.90
ORD-10186,10-Jun-2025,Customer 082,West Bengal,East,Technology,Accessories,Laptop Stand,8,21720.09,0.20,1546.00
ORD-10187,19-Aug-2025,Customer 064,Haryana,North,Office Supplies,Paper,Sticky Notes,2,478.35,0.30,-49.93
ORD-10188,23-Mar-2025,Customer 084,Maharashtra,West,Technology,Phones,5G Phone Pro,7,29988.79,0.25,1064.16
ORD-10189,16-Feb-2025,Customer 101,Punjab,North,Technology,Phones,Wireless Earbuds,8,24431.08,0.15,2503.55
ORD-10190,01-Dec-2025,Customer 173,Telangana,South,Technology,Phones,5G Phone Pro,1,695.19,0.30,26.88
ORD-10191,26-Jul-2025,Customer 094,Kerala,South,Office Supplies,Writing,Gel Pen Pack,2,736.71,0.15,189.05
ORD-10192,19-Aug-2025,Customer 141,West Bengal,East,Office Supplies,Paper,Notebook Set,6,3201.86,0.00,869.24
ORD-10193,23-Jun-2025,Customer 143,Delhi,North,Furniture,Storage,Bookshelf,3,19812.70,0.25,316.29
ORD-10194,31-Aug-2025,Customer 133,Haryana,North,Technology,Phones,Wireless Earbuds,1,914.62,0.05,204.46
ORD-10195,12-Nov-2025,Customer 077,Telangana,South,Technology,Electronics,Webcam HD,6,29289.31,0.20,1969.25
ORD-10196,11-Dec-2025,Customer 029,Punjab,North,Furniture,Storage,Wall Shelf,5,24520.81,0.00,4382.15
ORD-10197,26-Oct-2025,Customer 123,Tamil Nadu,South,Furniture,Tables,Work Desk,8,23552.19,0.10,2761.64
ORD-10198,25-Dec-2025,Customer 029,Gujarat,West,Furniture,Storage,Wall Shelf,3,20544.19,0.10,2250.16
ORD-10199,10-Nov-2025,Customer 121,Rajasthan,West,Technology,Accessories,Mechanical Keyboard,7,9943.30,0.10,1320.84
ORD-10200,10-Jun-2025,Customer 045,West Bengal,East,Furniture,Chairs,Office Chair Basic,6,37738.51,0.30,-559.96
ORD-10201,23-May-2025,Customer 143,Telangana,South,Furniture,Tables,Laptop Table,5,26813.69,0.10,3193.34
ORD-10202,28-Jun-2025,Customer 144,Uttar Pradesh,North,Technology,Accessories,Mechanical Keyboard,4,13169.50,0.30,21.94
ORD-10203,28-May-2025,Customer 021,Delhi,North,Office Supplies,Paper,Printer Paper,7,4994.61,0.05,1185.87
ORD-10204,23-Dec-2025,Customer 070,Haryana,North,Office Supplies,Writing,Highlighter Pack,8,1737.19,0.15,420.96
ORD-10205,27-Jan-2025,Customer 026,Maharashtra,West,Technology,Electronics,Webcam HD,4,3579.98,0.10,516.40
ORD-10206,09-Oct-2025,Customer 041,Tamil Nadu,South,Office Supplies,Writing,Pencil Box,2,1213.30,0.05,181.54
ORD-10207,27-Nov-2025,Customer 016,Tamil Nadu,South,Furniture,Tables,Conference Table,4,24126.76,0.15,1947.54
ORD-10208,01-Apr-2025,Customer 010,Odisha,East,Furniture,Storage,Filing Cabinet,1,7907.03,0.05,1146.58
ORD-10209,21-Jun-2025,Customer 073,Karnataka,South,Office Supplies,Paper,Sticky Notes,1,87.60,0.00,127.36
ORD-10210,27-Feb-2025,Customer 085,Telangana,South,Furniture,Storage,Wall Shelf,3,16460.36,0.30,-301.42
ORD-10211,18-Oct-2025,Customer 173,Gujarat,West,Furniture,Tables,Laptop Table,3,3143.66,0.20,226.97
ORD-10212,18-Feb-2025,Customer 048,Rajasthan,West,Technology,Electronics,Power Bank,7,25820.39,0.00,5140.28
ORD-10213,17-May-2025,Customer 085,Maharashtra,West,Office Supplies,Storage,Document Box,1,264.46,0.10,44.08
ORD-10214,02-Mar-2025,Customer 120,Uttar Pradesh,North,Furniture,Storage,Bookshelf,5,28344.29,0.10,3154.50
ORD-10215,24-Apr-2025,Customer 057,Uttar Pradesh,North,Technology,Accessories,Mechanical Keyboard,2,7487.69,0.15,735.70
ORD-10216,07-Dec-2025,Customer 056,Maharashtra,West,Office Supplies,Paper,Printer Paper,6,1768.17,0.30,212.06
ORD-10217,16-Oct-2025,Customer 029,Goa,West,Furniture,Storage,Bookshelf,8,34046.40,0.20,1601.06
ORD-10218,16-Apr-2025,Customer 150,West Bengal,East,Furniture,Storage,Filing Cabinet,3,5215.12,0.30,-170.33
ORD-10219,30-Jan-2025,Customer 144,Kerala,South,Technology,Electronics,Power Bank,1,2497.43,0.25,83.29
ORD-10220,24-Oct-2025,Customer 019,Telangana,South,Furniture,Tables,Work Desk,7,22293.36,0.00,4071.80
ORD-10221,30-Aug-2025,Customer 009,West Bengal,East,Office Supplies,Storage,File Folder,1,846.36,0.00,353.65
